,ucl_id,operator_intid,operator_altid,operator_name,lat,lon,initial_bikes,initial_size,curr_bikes,curr_size,created_dt,updated_dt,neighbors_1,neighbors_2,station_id,change_count
0,12,12,12,"Malet Street, Bloomsbury",51.521681,-0.130432,25,40,26,49,2010-08-06 01:00:00,2020-02-14 17:38:02,"[364, 287]","[364, 287, 88, 19, 796]",12,38553
1,116,116,116,"Little Argyll Street, West End",51.5145,-0.141424,12,21,5,21,2010-08-06 01:00:00,2020-02-14 17:38:02,"[349, 159]","[159, 349, 313, 106, 141]",116,37611
3,32,32,32,"Leonard Circus , Shoreditch",51.524696,-0.084439,17,21,9,43,2010-08-06 01:00:00,2020-02-14 17:38:02,[323],"[323, 73, 58, 3, 319]",32,40529
6,195,195,195,"Milroy Walk, South Bank",51.507244,-0.106238,3,30,19,30,2010-08-06 01:00:00,2020-02-14 17:38:02,"[839, 230, 240, 792]","[839, 240, 230, 792, 420]",195,36805
7,66,66,66,"Holborn Circus, Holborn",51.51795,-0.108657,39,39,26,40,2010-08-06 01:00:00,2020-02-14 17:38:02,"[546, 67, 835]","[546, 67, 835, 84, 112]",66,49363
8,194,194,194,"Hop Exchange, The Borough",51.504628,-0.091774,18,36,49,56,2010-08-06 01:00:00,2020-02-14 17:38:02,[10],"[10, 732, 801, 9, 269]",194,68178
10,17,17,17,"Hatton Wall, Holborn",51.521661,-0.109006,12,26,7,26,2010-08-06 01:00:00,2020-02-14 17:38:02,[72],"[72, 67, 135, 22, 66]",17,35495
11,270,270,270,"Kennington Lane Rail Bridge, Vauxhall",51.486343,-0.122492,2,19,17,31,2010-08-06 01:00:00,2020-02-14 17:38:02,"[437, 74, 813]","[74, 813, 437, 355, 352]",270,43349
12,130,130,130,"Tower Gardens , Tower",51.509506,-0.075459,19,24,12,24,2010-08-06 01:00:00,2020-02-14 17:38:02,[104],"[104, 102, 237, 202, 199]",130,39316
13,278,278,278,"Tooley Street, Bermondsey",51.503494,-0.079621,3,17,20,27,2010-08-06 01:00:00,2020-02-14 17:38:02,[818],"[818, 706, 85, 314, 298]",278,40153
18,101,101,101,"Queen Street 1, Bank",51.511553,-0.09294,17,22,19,22,2015-05-21 13:50:01,2020-02-14 17:38:02,"[579, 427]","[579, 427, 136, 48, 120]",101,43133
19,579,579,579,"Queen Street 2, Bank",51.511246,-0.093051,17,36,27,36,2014-02-19 18:15:01,2020-02-14 17:38:02,[101],"[101, 427, 136, 48, 9]",579,38453
20,703,703,703,"St. Bride Street, Holborn",51.51506,-0.105344,8,24,0,25,2014-02-19 18:15:01,2020-02-14 17:38:02,"[112, 393, 27, 835]","[112, 835, 27, 393, 546]",703,36108
21,109,109,109,"Soho Square , Soho",51.515631,-0.132329,29,37,35,57,2010-08-06 01:00:00,2020-02-14 17:38:02,"[386, 383, 244]","[244, 386, 383, 260, 88]",109,50871
22,564,564,564,"Somerset House, Strand",51.509943,-0.117619,41,41,30,41,2013-07-09 11:26:09,2020-02-14 17:38:02,"[388, 338, 309]","[309, 338, 388, 335, 79]",564,37269
26,73,73,73,"Old Street Station, St. Luke's",51.525726,-0.088486,12,37,27,37,2010-08-06 01:00:00,2020-02-14 17:38:02,"[319, 119]","[319, 119, 32, 50, 323]",73,46988
27,71,71,71,"Newgate Street , St. Paul's",51.515419,-0.098851,25,34,1,34,2010-08-06 01:00:00,2020-02-14 17:38:02,[557],"[557, 126, 48, 203, 127]",71,48629
29,228,228,228,"St. James's Square, St. James's",51.507425,-0.134621,35,40,16,40,2010-08-06 01:00:00,2020-02-14 17:38:02,"[233, 226, 160]","[160, 226, 233, 83, 325]",228,43107
30,331,331,331,"Bunhill Row, Moorgate",51.520859,-0.089888,20,30,8,30,2010-08-06 01:00:00,2020-02-14 17:38:02,"[215, 275, 140]","[275, 215, 140, 838, 54]",331,34600
31,251,251,251,"Brushfield Street, Liverpool Street",51.518908,-0.079249,20,22,21,34,2010-10-08 01:00:00,2020-02-14 17:38:02,"[122, 506, 87]","[122, 87, 506, 508, 175]",251,59541
32,427,427,427,"Cheapside, Bank",51.51397100000001,-0.09294,24,43,10,43,2011-08-16 12:12:53,2020-02-14 17:38:02,"[120, 101]","[120, 101, 579, 127, 340]",427,50139
33,229,229,229,"Whitehall Place, Strand",51.506543,-0.12318,30,46,22,24,2010-08-06 01:00:00,2020-02-14 17:38:02,"[354, 341]","[354, 341, 64, 309, 388]",229,40542
34,217,217,217,"Wormwood Street, Liverpool Street",51.516155,-0.08242200000000001,8,16,15,16,2010-08-06 01:00:00,2020-02-14 17:38:02,"[263, 87]","[87, 263, 55, 251, 340]",217,49000
36,177,177,177,"Ashley Place, Victoria",51.496161,-0.140948,13,25,16,25,2010-08-06 01:00:00,2020-02-14 17:38:02,"[360, 799, 320, 826]","[826, 360, 799, 320, 299]",177,37625
37,95,95,95,"Aldersgate Street, Barbican",51.520842,-0.09734,8,15,13,15,2010-08-06 01:00:00,2020-02-14 17:38:02,"[52, 246, 54]","[54, 52, 246, 126, 275]",95,39004
38,246,246,246,"Berry Street, Clerkenwell",51.52285300000001,-0.099994,30,41,32,41,2010-08-06 01:00:00,2020-02-14 17:38:02,"[78, 95]","[78, 95, 135, 52, 544]",246,35962
40,64,64,64,"William IV Street, Strand",51.509462,-0.124749,11,26,22,26,2010-08-06 01:00:00,2020-02-14 17:38:02,"[388, 341]","[341, 388, 354, 229, 325]",64,42290
41,340,340,340,"Bank of England Museum, Bank",51.514441,-0.087587,11,16,4,16,2010-10-08 01:00:00,2020-02-14 17:38:02,[55],"[55, 427, 217, 120, 509]",340,36540
42,193,193,193,"Bankside Mix, Bankside",51.505818,-0.100186,33,33,38,60,2010-08-06 01:00:00,2020-02-14 17:38:02,"[801, 810, 196, 803, 230]","[803, 810, 801, 230, 196]",193,38423
43,14,14,14,"Belgrove Street , King's Cross",51.529944,-0.123617,5,21,6,48,2010-08-06 01:00:00,2020-02-14 17:38:02,"[4, 798]","[798, 4, 593, 797, 793]",14,73497
44,272,272,272,"Baylis Road, Waterloo",51.501445,-0.110699,2,18,10,22,2010-08-06 01:00:00,2020-02-14 17:38:02,"[347, 284, 154]","[347, 284, 154, 361, 374]",272,43062
45,192,192,192,"Wardour Street, Soho",51.512515,-0.133202,16,16,13,16,2010-08-06 01:00:00,2020-02-14 17:38:02,"[386, 260, 129, 383]","[383, 260, 386, 129, 83]",192,34910
46,55,55,55,"Finsbury Circus, Liverpool Street",51.517075,-0.086686,6,32,30,33,2010-08-06 01:00:00,2020-02-14 17:38:02,"[215, 340, 509]","[215, 509, 340, 217, 838]",55,43586
47,107,107,107,"Finsbury Leisure Centre, St. Luke's",51.526008,-0.096318,2,20,14,20,2010-08-06 01:00:00,2020-02-14 17:38:02,[78],"[78, 52, 119, 351, 30]",107,40190
49,48,48,48,"Godliman Street, St. Paul's",51.512484,-0.099141,11,25,11,25,2010-08-06 01:00:00,2020-02-14 17:38:02,[136],"[136, 71, 557, 101, 579]",48,35251
50,199,199,199,"Great Tower Street, Monument",51.510485,-0.08299,20,24,9,24,2010-08-06 01:00:00,2020-02-14 17:38:02,"[276, 587]","[587, 276, 104, 263, 130]",199,39892
51,159,159,159,"Great Marlborough Street, Soho",51.51462,-0.13784100000000002,25,26,1,39,2010-08-06 01:00:00,2020-02-14 17:38:02,"[116, 260]","[260, 116, 313, 129, 192]",159,37031
54,541,541,541,"Green Park Station, Mayfair",51.506613,-0.142844,26,28,9,28,2015-05-21 13:50:01,2020-02-14 17:38:02,"[528, 49]","[49, 528, 53, 382, 44]",541,41442
57,154,154,154,"Waterloo Station 3, Waterloo",51.503792,-0.112824,7,34,30,35,2011-06-29 15:40:02,2020-02-14 17:38:02,"[252, 197, 334, 273, 272, 336, 173, 377, 374, 361]","[361, 374, 173, 377, 197]",154,49168
58,338,338,338,"Wellington Street , Strand",51.511756,-0.119643,15,15,5,24,2010-08-06 01:00:00,2020-02-14 17:38:02,"[335, 256, 388, 594, 564, 309]","[335, 388, 309, 564, 594]",338,36979
59,213,213,213,"Wellington Arch, Hyde Park",51.50274,-0.149569,29,36,2,36,2010-08-06 01:00:00,2020-02-14 17:38:02,"[191, 207]","[191, 207, 733, 222, 181]",213,43556
60,341,341,341,"Craven Street, Strand",51.50810300000001,-0.126021,1,23,23,23,2010-08-06 01:00:00,2020-02-14 17:38:02,"[354, 325, 229, 64]","[64, 354, 229, 325, 233]",341,49192
61,732,732,732,"Duke Street Hill, London Bridge",51.506304,-0.087263,15,21,20,21,2014-02-19 18:15:01,2020-02-14 17:38:02,[],"[194, 276, 10, 587, 706]",732,49676
62,18,18,18,"Drury Lane, Covent Garden",51.514771,-0.12222,24,27,7,27,2010-08-06 01:00:00,2020-02-14 17:38:02,"[358, 283, 751]","[751, 358, 283, 372, 562]",18,38533
63,214,214,214,"Endsleigh Gardens, Euston",51.526838,-0.130504,8,32,25,32,2010-08-06 01:00:00,2020-02-14 17:38:02,"[19, 25, 69, 795]","[795, 19, 25, 69, 797]",214,34770
64,374,374,374,"Waterloo Station 1, Waterloo",51.50402800000001,-0.113864,2,36,11,36,2011-06-29 15:40:02,2020-02-14 17:38:02,"[252, 197, 334, 819, 273, 336, 154, 173, 377, 361]","[361, 154, 173, 377, 336]",374,59324
65,361,361,361,"Waterloo Station 2, Waterloo",51.50392,-0.113426,0,55,15,55,2011-06-29 15:40:02,2020-02-14 17:38:02,"[252, 197, 334, 819, 273, 336, 154, 173, 377, 374]","[374, 154, 173, 377, 336]",361,38299
